,zip,dunkin,other,starbucks,total,dunkin_prop,starbucks_prop,other_prop,total_prop,area
0,10001,11.00000,29.00000,16.00000,56.00000,0.19643,0.28571,0.51786,1.00000,0.63831
1,10002,3.00000,36.00000,1.00000,40.00000,0.07500,0.02500,0.90000,1.00000,0.94267
2,10003,6.00000,53.00000,9.00000,68.00000,0.08824,0.13235,0.77941,1.00000,0.55736
3,10004,2.00000,12.00000,5.00000,19.00000,0.10526,0.26316,0.63158,1.00000,0.48621
4,10005,1.00000,4.00000,6.00000,11.00000,0.09091,0.54545,0.36364,1.00000,0.07471
5,10006,1.00000,0.00000,3.00000,4.00000,0.25000,0.75000,0.00000,1.00000,0.06158
6,10007,5.00000,7.00000,4.00000,16.00000,0.31250,0.25000,0.43750,1.00000,0.19114
7,10009,3.00000,20.00000,1.00000,24.00000,0.12500,0.04167,0.83333,1.00000,0.57046
8,10010,4.00000,18.00000,8.00000,30.00000,0.13333,0.26667,0.60000,1.00000,0.35039
9,10011,4.00000,37.00000,8.00000,49.00000,0.08163,0.16327,0.75510,1.00000,0.64991
10,10012,1.00000,35.00000,4.00000,40.00000,0.02500,0.10000,0.87500,1.00000,0.32978
11,10013,3.00000,42.00000,9.00000,54.00000,0.05556,0.16667,0.77778,1.00000,0.55888
12,10014,3.00000,32.00000,5.00000,40.00000,0.07500,0.12500,0.80000,1.00000,0.50760
13,10016,8.00000,16.00000,8.00000,32.00000,0.25000,0.25000,0.50000,1.00000,0.53957
14,10017,5.00000,23.00000,20.00000,48.00000,0.10417,0.41667,0.47917,1.00000,0.35133
15,10018,9.00000,22.00000,5.00000,36.00000,0.25000,0.13889,0.61111,1.00000,0.38402
16,10019,6.00000,28.00000,18.00000,52.00000,0.11538,0.34615,0.53846,1.00000,0.67538
17,10020,0.00000,2.00000,1.00000,3.00000,0.00000,0.33333,0.66667,1.00000,0.02501
18,10021,2.00000,10.00000,4.00000,16.00000,0.12500,0.25000,0.62500,1.00000,0.37646
19,10022,7.00000,19.00000,13.00000,39.00000,0.17949,0.33333,0.48718,1.00000,0.45657
20,10023,1.00000,11.00000,8.00000,20.00000,0.05000,0.40000,0.55000,1.00000,0.54568
21,10024,3.00000,14.00000,4.00000,21.00000,0.14286,0.19048,0.66667,1.00000,0.82061
22,10025,5.00000,10.00000,7.00000,22.00000,0.22727,0.31818,0.45455,1.00000,0.70417
23,10026,2.00000,4.00000,3.00000,9.00000,0.22222,0.33333,0.44444,1.00000,0.39790
24,10027,2.00000,12.00000,3.00000,17.00000,0.11765,0.17647,0.70588,1.00000,0.88582
25,10028,3.00000,7.00000,7.00000,17.00000,0.17647,0.41176,0.41176,1.00000,0.35303
26,10029,5.00000,7.00000,1.00000,13.00000,0.38462,0.07692,0.53846,1.00000,0.82370
27,10030,1.00000,3.00000,0.00000,4.00000,0.25000,0.00000,0.75000,1.00000,0.27827
28,10031,3.00000,6.00000,0.00000,9.00000,0.33333,0.00000,0.66667,1.00000,0.60628
29,10032,3.00000,4.00000,1.00000,8.00000,0.37500,0.12500,0.50000,1.00000,0.83074
30,10033,5.00000,2.00000,1.00000,8.00000,0.62500,0.12500,0.25000,1.00000,0.57952
31,10034,1.00000,3.00000,1.00000,5.00000,0.20000,0.20000,0.60000,1.00000,0.87896
32,10035,3.00000,3.00000,0.00000,6.00000,0.50000,0.00000,0.50000,1.00000,1.39680
33,10036,6.00000,33.00000,13.00000,52.00000,0.11538,0.25000,0.63462,1.00000,0.40874
34,10037,1.00000,1.00000,0.00000,2.00000,0.50000,0.00000,0.50000,1.00000,0.25787
35,10038,5.00000,15.00000,6.00000,26.00000,0.19231,0.23077,0.57692,1.00000,0.25191
36,10039,1.00000,0.00000,1.00000,2.00000,0.50000,0.50000,0.00000,1.00000,0.30199
37,10040,2.00000,2.00000,0.00000,4.00000,0.50000,0.00000,0.50000,1.00000,0.58614
38,10044,0.00000,0.00000,1.00000,1.00000,0.00000,1.00000,0.00000,1.00000,0.22584
39,10065,2.00000,10.00000,5.00000,17.00000,0.11765,0.29412,0.58824,1.00000,0.41045
40,10075,1.00000,5.00000,2.00000,8.00000,0.12500,0.25000,0.62500,1.00000,0.17252
41,10103,0.00000,0.00000,1.00000,1.00000,0.00000,1.00000,0.00000,1.00000,0.00225
42,10104,0.00000,0.00000,1.00000,1.00000,0.00000,1.00000,0.00000,1.00000,0.00322
43,10105,0.00000,0.00000,1.00000,1.00000,0.00000,1.00000,0.00000,1.00000,0.00127
44,10107,0.00000,0.00000,1.00000,1.00000,0.00000,1.00000,0.00000,1.00000,0.00083
45,10112,1.00000,0.00000,1.00000,2.00000,0.50000,0.50000,0.00000,1.00000,0.00060
46,10118,0.00000,0.00000,2.00000,2.00000,0.00000,1.00000,0.00000,1.00000,0.00329
47,10119,0.00000,0.00000,3.00000,3.00000,0.00000,1.00000,0.00000,1.00000,0.00453
48,10121,0.00000,2.00000,0.00000,2.00000,0.00000,0.00000,1.00000,1.00000,0.00413
49,10128,4.00000,7.00000,4.00000,15.00000,0.26667,0.26667,0.46667,1.00000,0.39499
50,10154,0.00000,1.00000,0.00000,1.00000,0.00000,0.00000,1.00000,1.00000,0.00284
51,10158,0.00000,0.00000,1.00000,1.00000,0.00000,1.00000,0.00000,1.00000,0.00127
52,10168,1.00000,1.00000,0.00000,2.00000,0.50000,0.00000,0.50000,1.00000,0.00100
53,10169,0.00000,2.00000,0.00000,2.00000,0.00000,0.00000,1.00000,1.00000,0.00238
54,10170,0.00000,1.00000,0.00000,1.00000,0.00000,0.00000,1.00000,1.00000,0.00222
55,10173,0.00000,0.00000,1.00000,1.00000,0.00000,1.00000,0.00000,1.00000,0.00092
56,10270,0.00000,1.00000,0.00000,1.00000,0.00000,0.00000,1.00000,1.00000,0.00112
57,10281,0.00000,1.00000,2.00000,3.00000,0.00000,0.66667,0.33333,1.00000,0.03437
58,10282,0.00000,1.00000,0.00000,1.00000,0.00000,0.00000,1.00000,1.00000,0.05603
59,10301,3.00000,1.00000,1.00000,5.00000,0.60000,0.20000,0.20000,1.00000,3.77291
60,10302,1.00000,0.00000,0.00000,1.00000,1.00000,0.00000,0.00000,1.00000,1.06015
61,10303,2.00000,0.00000,0.00000,2.00000,1.00000,0.00000,0.00000,1.00000,2.92807
62,10304,0.00000,3.00000,0.00000,3.00000,0.00000,0.00000,1.00000,1.00000,3.52340
63,10305,4.00000,1.00000,0.00000,5.00000,0.80000,0.00000,0.20000,1.00000,3.99743
64,10306,4.00000,1.00000,1.00000,6.00000,0.66667,0.16667,0.16667,1.00000,6.24508
65,10307,0.00000,1.00000,0.00000,1.00000,0.00000,0.00000,1.00000,1.00000,1.65104
66,10308,3.00000,0.00000,0.00000,3.00000,1.00000,0.00000,0.00000,1.00000,2.25088
67,10309,5.00000,1.00000,1.00000,7.00000,0.71429,0.14286,0.14286,1.00000,7.74204
68,10310,1.00000,1.00000,0.00000,2.00000,0.50000,0.00000,0.50000,1.00000,1.91773
69,10312,3.00000,2.00000,0.00000,5.00000,0.60000,0.00000,0.40000,1.00000,6.06518
70,10314,9.00000,4.00000,3.00000,16.00000,0.56250,0.18750,0.25000,1.00000,17.00190
71,10451,6.00000,2.00000,1.00000,9.00000,0.66667,0.11111,0.22222,1.00000,1.03823
72,10452,1.00000,0.00000,0.00000,1.00000,1.00000,0.00000,0.00000,1.00000,0.98823
73,10453,1.00000,0.00000,0.00000,1.00000,1.00000,0.00000,0.00000,1.00000,0.92360
74,10454,2.00000,1.00000,0.00000,3.00000,0.66667,0.00000,0.33333,1.00000,1.11425
75,10455,2.00000,0.00000,0.00000,2.00000,1.00000,0.00000,0.00000,1.00000,0.71191
76,10456,1.00000,1.00000,0.00000,2.00000,0.50000,0.00000,0.50000,1.00000,1.07371
77,10457,2.00000,1.00000,0.00000,3.00000,0.66667,0.00000,0.33333,1.00000,1.35017
78,10458,2.00000,12.00000,1.00000,15.00000,0.13333,0.06667,0.80000,1.00000,1.29020
79,10459,3.00000,0.00000,0.00000,3.00000,1.00000,0.00000,0.00000,1.00000,0.80894
80,10460,4.00000,1.00000,0.00000,5.00000,0.80000,0.00000,0.20000,1.00000,1.26104
81,10461,10.00000,5.00000,2.00000,17.00000,0.58824,0.11765,0.29412,1.00000,2.25350
82,10462,3.00000,3.00000,1.00000,7.00000,0.42857,0.14286,0.42857,1.00000,1.90192
83,10463,3.00000,0.00000,3.00000,6.00000,0.50000,0.50000,0.00000,1.00000,1.42846
84,10464,1.00000,3.00000,0.00000,4.00000,0.25000,0.00000,0.75000,1.00000,3.31289
85,10465,3.00000,4.00000,1.00000,8.00000,0.37500,0.12500,0.50000,1.00000,3.88917
86,10466,3.00000,0.00000,0.00000,3.00000,1.00000,0.00000,0.00000,1.00000,1.98227
87,10467,6.00000,2.00000,0.00000,8.00000,0.75000,0.00000,0.25000,1.00000,2.48709
88,10468,4.00000,4.00000,0.00000,8.00000,0.50000,0.00000,0.50000,1.00000,1.23564
